Index	Abbreviation	Elaboration
0-9	2-/3-D	Two or Three Dimensional
A	A.I.	apical index
A	AB	Antibody
C	CC  	Cell Cluster
C	CNN	Convolutional Neural Network
C	CI	confidence interval
D	dpf	days post fertilization
D	DSH	Dishevelled
E	ECDF 	Empirical Cumulative Distribution Function
F	Fgf	Fibroblast Growth Factor
F	Fgfr1	Fgf receptor 1
F	FOV	Field of View
F	FRZ	Frizzled
H	hpf	hours post fertilization
I	IJ	ImageJ
I	ISH	In Situ Hybridization
K	KDE	Kernel Density Estimation
L	l.e.	leading edge
L	LL 	Lateral Line
L	LOESS  	Locally Weighted Scatterplot Smoothing
L	LSFM	Light sheet fluorescence microscope
L	LUT	Lookup Table
L	LMPA	low melting point agarose
M	MaxIP  	Maximum Intensity Projection
M	MO	Morpholino
N	N.A.	Numerical Aperture3
N	NGS	Normal Goat Serum
N	NICD	Notch intracellular domain
N	NM  	Neuromast
N	NMII	Non muscle myosin II
O	o.n.	over night
P	p.Hist	phospho-Histone
P	PCR	Polymerase chain reaction
P	PFA  	Paraformaldehyd
P	pLLP	Posterior Lateral Line Primordium
R	Rock	Rho-Kinase
R	ROI  	Region of Interest
S	SBD	Shroom binding domain
S	SEM 	Scanning Electron Microscopy
S	SNR	Signal to Noise Ratio
T	TALEN	Transcription activator-like effector nuclease 
T	TF	Transcription Factor
