id	group	variable	value
B1P03	ctr	EdU	0.244094488
B1P07	ctr	EdU	0.148648649
B1P11	ctr	EdU	0.169491525
B1P12	ctr	EdU	0.21978022
B1P19	ctr	EdU	0.25
B1P21	ctr	EdU	0.242105263
B1P23	ctr	EdU	0.259259259
B1P27	ctr	EdU	0.231707317
B1P28	ctr	EdU	0.15625
B1P36	ctr	EdU	0.293478261
B1P39	ctr	EdU	0.123595506
B2P20	ctr	EdU	0.317073171
B2P25	ctr	EdU	0.188976378
B2P26	ctr	EdU	0.14893617
B2P27	ctr	EdU	0.155339806
B2P28	ctr	EdU	0.19205298
B2P30	ctr	EdU	0.2
B2P32	ctr	EdU	0.188679245
B2P33	ctr	EdU	0.251968504
B2P35	ctr	EdU	0.346534653
B3P11	ctr	EdU	0.244444444
B3P16	ctr	EdU	0.220930233
B3P17	ctr	EdU	0.152941176
B3P19	ctr	EdU	0.201834862
B3P22	ctr	EdU	0.157894737
B3P27	ctr	EdU	0.253968254
B1P01	hom	EdU	0.212765957
B1P06	hom	EdU	0.264367816
B1P09	hom	EdU	0.18556701
B1P10	hom	EdU	0.134020619
B1P17	hom	EdU	0.177777778
B1P30	hom	EdU	0.255102041
B1P32	hom	EdU	0.130841121
B1P34	hom	EdU	0.170212766
B2P01	hom	EdU	0.117021277
B2P07	hom	EdU	0.244444444
B2P09	hom	EdU	0.288659794
B2P17	hom	EdU	0.173553719
B3P08	hom	EdU	0.401459854
B3P12	hom	EdU	0.182608696
B3P18	hom	EdU	0.15
B3P21	hom	EdU	0.182795699
B3P23	hom	EdU	0.178082192
B1P03	ctr	p-Histone	0.031847134
B1P04	ctr	p-Histone	0.060869565
B1P08	ctr	p-Histone	0.036036036
B1P10	ctr	p-Histone	0.016666667
B1P19	ctr	p-Histone	0.047619048
B2P14	ctr	p-Histone	0.008849558
B2P22	ctr	p-Histone	0.077777778
B2P24	ctr	p-Histone	0.016129032
B2P28	ctr	p-Histone	0.04
B2P30	ctr	p-Histone	0.037593985
B2P33	ctr	p-Histone	0.035714286
B2P34	ctr	p-Histone	0.051094891
B2P37	ctr	p-Histone	0.06097561
B3P02	ctr	p-Histone	0.057142857
B3P05	ctr	p-Histone	0.057692308
B3P18	ctr	p-Histone	0.028846154
B3P20	ctr	p-Histone	0.035294118
B3P22	ctr	p-Histone	0.03875969
B3P25	ctr	p-Histone	0.058394161
B3P33	ctr	p-Histone	0.018518519
B3P37	ctr	p-Histone	0.019607843
B3P39	ctr	p-Histone	0.009259259
B1P01	hom	p-Histone	0
B1P02	hom	p-Histone	0.016806723
B1P06	hom	p-Histone	0.061403509
B1P09	hom	p-Histone	0.048192771
B1P12	hom	p-Histone	0.058823529
B1P13	hom	p-Histone	0.010416667
B1P16	hom	p-Histone	0.047619048
B1P17	hom	p-Histone	0.03125
B2P01	hom	p-Histone	0.04137931
B2P03	hom	p-Histone	0.053571429
B2P05	hom	p-Histone	0.045801527
B2P06	hom	p-Histone	0.069565217
B2P11	hom	p-Histone	0.050724638
B2P17	hom	p-Histone	0.01459854
B2P18	hom	p-Histone	0.047904192
B2P21	hom	p-Histone	0.073770492
B2P26	hom	p-Histone	0.032679739
B2P31	hom	p-Histone	0.036144578
B2P36	hom	p-Histone	0.028846154
B2P38	hom	p-Histone	0.046875
B3P06	hom	p-Histone	0.016129032
B3P10	hom	p-Histone	0.009009009
B3P11	hom	p-Histone	0.032608696
B3P12	hom	p-Histone	0.032
B3P15	hom	p-Histone	0.006849315
B3P16	hom	p-Histone	0.038167939
B3P27	hom	p-Histone	0.03030303
B3P30	hom	p-Histone	0.048076923
B3P31	hom	p-Histone	0.02994012
