step		condition
Crossings	Pairs	6
Crossings	Transgenes	cldnb:lyn-gfp +/?
Crossings	Mutation	shroom3
Crossings	Staging	30 min.
Mounting	Protocol	Kleinhans $\textit{et al.}$, 2019
Mounting	Agarose	0.3$\%$ LMPA + 20$\%$ Tricaine (V/V$\%$)
Mounting	stamp	version 5A
Imaging	Magnification	20X + 1.5x zoom
Imaging	Camera	Binning 2x2; Gain 4; Exposure 20 ms; full FOV*150 $\mu$m
Imaging	Channels	488 nm (25$\%$)
Imaging	Positions	36
Imaging	Z-Stack	3 $\mu$m Z-spacing; 100 $\mu$m stack size; 3*X large image
Imaging	Time	20 h / 10 min. interval / start ~ 2 p.m.
