Chemical  Company  cat.-no.
Agarose   Roth  6351.2
Agar-Agar  Roth   5210.3
Ampicillin  Roth  K029.2
ATP  Epicentre  E311K
Blocking Reagent  Roche  11096176001
BCIP  Fermentas  R0822
CaCl$\textsubscript{2}$  Roth   886.1
Calyculin  Sigma  208851
DAPI  Sigma  D9542
DIG RNA Mix  Roche  11277073910
DMSO  Roth  4720.2
EtBr  Roth   2218.3
EtOH  Roth  9065.3
Formaldehyde  Roth  7398.1
Formamide  Roth  P040.1
Glycerol  Roth  3783.2
IPTG  Thermo  R1171
KCl  Roth  P017.1
Low melting point Agarose  Roth  A9539
Maleic Acid  Roth  3810.3
MgSO$\textsubscript{4}$  Roth   T888.2
MeOH  Roth  CP43.3
MgCl$\textsubscript{2}$  Roth  2189.1
NaCl  Roth  9265.2
NaHCO$\textsubscript{3}$  Roth   855.1
NaOH  Roth  6771.3
NGS  Sigma  C6767
$\textit{p}$-Formaldehyd  Sigma  P6148
Phenol Red  Sigma  P0290
Propan-2-ol  VWR  20842330
Proteinase K  Roth  7528.4
PTU  Sigma  P7629
Rockout  Sigma  555553
SSC  Roth  1232.1
SU5402  CALBIOCHEM  572630
Torula RNA  Sigma  R6625
Tricaine  Sigma  A5040
Tris Base  Roth  4855.2
Triton-X100  Roth  3051.2
Trizol  Ambion  15596018
Tween20  Sigma  P1379
